LATITUD,LONGITUD
21.87119,-102.31962
21.91522,-102.28652
21.90032,-102.30621
21.84853,-102.29386
21.873920000000002,-102.30055
21.87417,-102.28989
21.84252,-102.26911
21.87744,-102.25645
21.895410000000002,-102.31555
21.87054,-102.28183
21.93029,-102.26637
21.9033,-102.25446
21.90205,-102.2855
21.85984,-102.25818000000001
21.859939999999998,-102.25612
21.869,-102.30254000000001
21.909860000000002,-102.32887
21.88091,-102.29704
21.9245,-102.30882
21.8788,-102.29603
21.88384,-102.2745
21.92301,-102.29166
21.84521,-102.30161
21.91003,-102.29703
21.85235,-102.29428
21.8661,-102.28653
21.8475,-102.31989
21.84971,-102.29969
21.876360000000002,-102.30364
21.86884,-102.29771
21.915689999999998,-102.29781
21.925520000000002,-102.26391
21.84469,-102.26061999999999
21.867929999999998,-102.30888
21.8756,-102.29502
21.84478,-102.29078
21.85988,-102.27294
21.90879,-102.2725
21.87864,-102.28154
21.88638,-102.31246
21.88096,-102.28208000000001
21.92875,-102.2501
21.92279,-102.29168
21.83253,-102.28873
21.907610000000002,-102.29231999999999
21.86971,-102.30771
21.87346,-102.2493
21.887710000000002,-102.2615
21.88956,-102.24450999999999
21.84478,-102.29077
21.83717,-102.28948000000001
21.85049,-102.24521999999999
21.8394,-102.28981
21.87892,-102.29375
21.912010000000002,-102.31067
21.84208,-102.28345
21.89234,-102.27549
21.92185,-102.29171
21.87426,-102.25543
21.8669,-102.30294
21.88345,-102.28749
21.860689999999998,-102.30064
21.860120000000002,-102.28059
21.89159,-102.2773
21.88255,-102.28416
21.85979,-102.26937
21.88306,-102.25888
21.84461,-102.29521
21.88211,-102.23437
21.88212,-102.29709
21.86006,-102.28108
21.88884,-102.29781
21.85246,-102.26805999999999
21.87319,-102.31161999999999
21.85964,-102.29879
21.8703,-102.30213
21.85233,-102.30709
21.91522,-102.28652
21.84357,-102.27096
21.8452,-102.30833
21.86654,-102.28198
21.867079999999998,-102.28029000000001
21.92267,-102.26235
21.91488,-102.27866
21.8452,-102.30833
21.92202,-102.28520999999999
21.913970000000003,-102.29731
21.87153,-102.3237
21.91539,-102.29198000000001
21.89968,-102.29595
21.88652,-102.28806999999999
21.909229999999997,-102.25895
21.90854,-102.29689
21.87284,-102.23474
21.9087,-102.27259000000001
21.86928,-102.24189
21.8981,-102.30175
21.89967,-102.3171
21.882279999999998,-102.24292
21.888360000000002,-102.24771
21.81729,-102.26216
21.90965,-102.23831
21.88156,-102.2492
21.8782,-102.27393000000001
21.85128,-102.29332
21.87914,-102.29184000000001
21.89248,-102.25354
21.8856,-102.24814
21.87527,-102.29626
21.86974,-102.24591
21.921529999999997,-102.27472
21.88961,-102.27346999999999
21.9129,-102.29212
21.85418,-102.26031
21.85899,-102.3113
21.832520000000002,-102.28871
21.867739999999998,-102.24453000000001
21.85748,-102.26071
21.8631,-102.27768
21.90793,-102.31000999999999
21.85497,-102.25692
21.8626,-102.31713
21.88609,-102.31245
21.88351,-102.24959
21.93715,-102.24518
21.902829999999998,-102.30378
21.90559,-102.29664
21.92055,-102.26149000000001
21.878220000000002,-102.29697
21.85216,-102.26932
21.93538,-102.26318
21.84478,-102.29078
21.87112,-102.30679
21.899929999999998,-102.27176
