LATITUD,LONGITUD
21.84801042,-102.2467679
21.92734872,-102.26633129999999
21.92005919,-102.24331509999999
21.92514903,-102.2980666
21.87809446,-102.23536419999999
21.83911622,-102.1911786
21.88383773,-102.2862179
21.89382075,-102.29694549999999
21.88739744,-102.2362032
21.91281975,-102.2458961
21.91264419,-102.2920553
21.86424282,-102.2892636
21.86868835,-102.246675
21.88824457,-102.2732285
21.89912401,-102.3112547
21.87865404,-102.2814777
21.86002628,-102.2728912
21.90652191,-102.258833
21.84965485,-102.3011075
21.91537351,-102.28691620000001
21.88117745,-102.24368559999999
21.85329225,-102.35376099999999
21.84951378,-102.1876469
21.94165297,-102.27877240000001
21.858083999999998,-102.2929799
21.91522082,-102.28652220000001
21.94202167,-102.2785843
21.90699071,-102.2569997
21.87119274,-102.319616
21.88661199,-102.3172389
21.90934925,-102.3107425
21.85850578,-102.30645990000001
21.8951532,-102.26946729999999
21.95727637,-102.27228509999999
21.92334748,-102.2434548
21.88005835,-102.317985
21.85918077,-102.313997
21.92434594,-102.31753409999999
21.84566958,-102.28644940000001
21.86056375,-102.3007092
21.88418312,-102.27256379999999
21.87852928,-102.2814641
21.93191066,-102.3215177
21.90330455,-102.2999565
21.94160807,-102.2786871
21.86426443,-102.3034825
21.90254237,-102.2856031
21.86466268,-102.2354517
21.93622482,-102.3244099
21.91867228,-102.24458359999998
21.89641378,-102.2810457
21.86001423,-102.2752526
21.89649454,-102.2571745
21.90869625,-102.2725932
21.87505783,-102.3119804
21.87160442,-102.25156770000001
21.87452952,-102.2427502
21.90121805,-102.2826082
21.85673924,-102.28268840000001
21.86629192,-102.2845895
21.86572491,-102.26944240000002
21.86138517,-102.2250662
21.87010015,-102.30747990000002
21.86853998,-102.2759286
21.87157435,-102.3186525
21.88575735,-102.29074759999999
21.86013849,-102.25547859999999
21.90178215,-102.2883977
21.85918077,-102.313997
21.87816765,-102.2353689
21.83149309,-102.2832267
21.90668534,-102.357477
21.87176428,-102.251087
21.92366678,-102.2914925
21.87070304,-102.28835190000001
21.858083999999998,-102.2929799
21.89872966,-102.32337890000001
21.93448929,-102.3084152
21.85299382,-102.3091959
21.86655278,-102.28197490000001
21.89850442,-102.31704559999999
21.87789782,-102.2566667
21.88719083,-102.27990909999998
21.85657163,-102.2524548
21.9538763,-102.2902043
21.94105798,-102.2907737
21.85122145,-102.29410240000001
21.9446498,-102.2907008
21.93498358,-102.2976307
21.90191917,-102.2752389
21.91567375,-102.27450379999999
21.85695372,-102.25745079999999
21.91958489,-102.3149985
21.89897785,-102.2921944
21.90280672,-102.2701902
