LATITUD,LONGITUD
21.95951391,-102.2172421
21.88619253,-102.2506617
21.89096745,-102.2848516
21.91393376,-102.2756168
21.9304611,-102.3206716
21.84833918,-102.3152172
21.84856765,-102.3422365
21.88834069,-102.3690307
22.03076341,-102.2823955
21.87873257,-102.271783
21.84766939,-102.2481616
21.89157749,-102.3005342
21.83513196,-102.2881294
21.88434811,-102.2968542
21.88141984,-102.2949986
21.91997713,-102.3042294
21.92707272,-102.2913415
21.85353082,-102.2636598
21.93609374,-102.2655906
21.87452641,-102.2553846
21.92939095,-102.2534555
21.87882092,-102.3526607
21.87011498,-102.3010591
21.8987228,-102.2748909
21.83741841,-102.2691145
21.89689601,-102.3094019
21.86431933,-102.2787483
21.93973122,-102.3260228
21.8097358,-102.2662945
21.88612912,-102.3173893
21.86285133,-102.3243375
21.92566008,-102.2677257
21.98553738,-102.2105963
21.90778322,-102.317191
21.90169134,-102.2135246
21.91369057,-102.2493495
21.91599944,-102.3182482
21.81844646,-102.1863868
21.91366591,-102.2448864
21.87743997,-102.347469
21.82452717,-102.2834189
21.8966683,-102.2709618
21.91561796,-102.3186667
21.87052086,-102.2663831
21.86409196,-102.3216372
21.80086676,-102.2764337
21.91600567,-102.3000036
21.8404922,-102.2513356
21.91375861,-102.2919209
21.87237072,-102.3286988
21.85808062,-102.2928929
21.92549406,-102.2914156
21.9511085,-102.1905575
21.86068186,-102.2227275
21.88152165,-102.2721148
21.85618895,-102.3571178
21.88152165,-102.2721148
21.85035318,-102.2918149
21.79853417,-102.2050432
21.87765451,-102.2813277
21.82359921,-102.2674272
21.91496356,-102.3190161
21.85223669,-102.2721352
21.84504534,-102.3188742
21.84504534,-102.3188742
21.87983548,-102.2431591
21.85858316,-102.2694866
21.90369734,-102.316346
21.90258732,-102.2411109
21.90985954,-102.317371
21.90529348,-102.3270697
21.94387843,-102.2545559
21.87939825,-102.3352855
21.87425432,-102.2554292
21.9254498,-102.2948456
21.92734872,-102.2663313
21.86537506,-102.2942005
21.87857327,-102.3523185
21.88612795,-102.2207842
21.89418318,-102.3171318
21.92986158,-102.2562652
21.84328708,-102.3230266
21.89253911,-102.3212027
21.86819834,-102.2769569
21.87809203,-102.2353626
21.90367772,-102.248279
21.93890122,-102.2910464
21.88371997,-102.2265098
21.87789338,-102.2957512
21.87353828,-102.3005653
21.91870582,-102.3081362
21.86497777,-102.3106195
21.85074644,-102.2512082
21.90774686,-102.2487102
21.8992614,-102.3170487
21.88434402,-102.2698372
